2017-04-06,(AM),Heavy Traffic:463,Mechanical Problem:55,Other:46,(PM),Heavy Traffic:104,Late return from Field Trip:40,Mechanical Problem:34
2017-04-13,(AM),Heavy Traffic:311,Mechanical Problem:48,Other:47,(PM),Heavy Traffic:62,Mechanical Problem-Won`t Start:11,Other:10
2017-04-20,(AM),Heavy Traffic:1262,Other:190,Mechanical Problem:124,(PM),Heavy Traffic:230,Mechanical Problem:60,Other:44
2017-04-27,(AM),Heavy Traffic:1164,Mechanical Problem:163,Other:161,(PM),Heavy Traffic:232,Late return from Field Trip:98,Mechanical Problem:83
2017-05-04,(AM),Heavy Traffic:1114,Other:180,Mechanical Problem:148,(PM),Heavy Traffic:240,Mechanical Problem:92,Late return from Field Trip:91
2017-05-11,(AM),Heavy Traffic:1272,Other:201,Mechanical Problem:134,(PM),Heavy Traffic:370,Late return from Field Trip:144,Mechanical Problem:87
2017-05-18,(AM),Heavy Traffic:1327,Mechanical Problem:211,Other:181,(PM),Heavy Traffic:483,Late return from Field Trip:195,Mechanical Problem:135
2017-05-25,(AM),Heavy Traffic:854,Other:119,Mechanical Problem:95,(PM),Heavy Traffic:260,Late return from Field Trip:153,Mechanical Problem:47
2017-06-01,(AM),Heavy Traffic:955,Mechanical Problem:137,Other:134,(PM),Heavy Traffic:300,Late return from Field Trip:151,Mechanical Problem:74
2017-06-08,(AM),Heavy Traffic:744,Other:138,Mechanical Problem:135,(PM),Heavy Traffic:266,Mechanical Problem:68,Other:61
2017-06-15,(AM),Heavy Traffic:793,Other:158,Mechanical Problem:88,(PM),Heavy Traffic:326,Mechanical Problem:54,Other:37
2017-06-22,(AM),Heavy Traffic:512,Other:92,Mechanical Problem:48,(PM),Heavy Traffic:143,Mechanical Problem:34,Other:24
2017-06-29,(AM),Heavy Traffic:121,Other:61,Mechanical Problem:12,(PM),Heavy Traffic:11,Won`t Start:7,Other:6
2017-07-06,(AM),Heavy Traffic:282,Other:142,Mechanical Problem:47,(PM),Heavy Traffic:78,Other:24,Won`t Start:17
2017-07-13,(AM),Heavy Traffic:267,Other:159,Mechanical Problem:47,(PM),Heavy Traffic:42,Other:36,Won`t Start:29
2017-07-20,(AM),Heavy Traffic:356,Other:127,Mechanical Problem:36,(PM),Other:35,Heavy Traffic:31,Mechanical Problem:25
2017-07-27,(AM),Heavy Traffic:325,Other:102,Mechanical Problem:45,(PM),Heavy Traffic:50,Mechanical Problem:25,Other:23
2017-08-03,(AM),Heavy Traffic:136,Other:67,Mechanical Problem:25,(PM),Heavy Traffic:28,Won`t Start:18,Mechanical Problem:14
2017-08-31,(AM),Heavy Traffic:106,Other:28,Mechanical Problem:9,(PM),Heavy Traffic:5,Other:3,Flat Tire-Mechanical Problem-Won`t Start:1
